,City,Country,Lat,Lng,Hotel Name
17,Shuangyang,CN,43.5242,125.6736,Chenyu Hotel
362,Maniitsoq,GL,65.4167,-52.9,Hotel Maniitsoq
482,Plastun,RU,44.7561,136.2939,Gostinitsa Rossiyanochka
